101_2_2	163.02	101	20
101_3_2	19.64	101	76
101_4_2	19.64	101	76
102_1_2	163.02	102	20
102_2_2	163.02	102	20
102_3_2	19.64	102	76
102_4_2	19.64	102	76
107_1_2	75.64	107	100
107_2_2	75.64	107	100
107_3_2	75.64	107	100
113_1_2	74.75	113	197
113_2_2	74.75	113	197
113_3_2	74.75	113	197
115_6_2	15.46	115	155
115_1_2	94.74	115	12
115_2_2	94.74	115	12
115_3_2	94.74	115	12
115_4_2	94.74	115	12
115_5_2	94.74	115	12
116_1_2	15.46	116	155
118_1_2	5.46	118	400
121_1_2	5.46	121	400
122_1_2	0	122	50
122_2_2	0	122	50
122_3_2	0	122	50
122_4_2	0	122	50
122_5_2	0	122	50
122_6_2	0	122	50
123_1_2	15.46	123	155
123_2_2	15.46	123	155
123_3_2	15.89	123	350
201_3_2	19.64	201	76
201_4_2	19.64	201	76
201_1_2	163.02	201	20
201_2_2	163.02	201	20
202_1_2	163.02	202	20
202_2_2	163.02	202	20
202_3_2	19.64	202	76
202_4_2	19.64	202	76
207_1_2	75.64	207	100
207_2_2	75.64	207	100
207_3_2	75.64	207	100
213_1_2	74.75	213	197
213_2_2	74.75	213	197
213_3_2	74.75	213	197
215_6_2	15.46	215	155
215_1_2	94.74	215	12
215_2_2	94.74	215	12
215_3_2	94.74	215	12
215_4_2	94.74	215	12
215_5_2	94.74	215	12
216_1_2	15.46	216	155
218_1_2	5.46	218	400
221_1_2	5.46	221	400
222_1_2	0	222	50
222_2_2	0	222	50
222_3_2	0	222	50
222_4_2	0	222	50
222_5_2	0	222	50
222_6_2	0	222	50
223_1_2	15.46	223	155
223_2_2	15.46	223	155
223_3_2	15.89	223	350
301_3_2	19.64	301	76
301_4_2	19.64	301	76
301_1_2	163.02	301	20
301_2_2	163.02	301	20
302_1_2	163.02	302	20
302_2_2	163.02	302	20
302_3_2	19.64	302	76
302_4_2	19.64	302	76
307_1_2	75.64	307	100
307_2_2	75.64	307	100
307_3_2	75.64	307	100
313_1_2	74.75	313	197
313_2_2	74.75	313	197
313_3_2	74.75	313	197
315_6_2	15.46	315	155
315_1_2	94.74	315	12
315_2_2	94.74	315	12
315_3_2	94.74	315	12
315_4_2	94.74	315	12
315_5_2	94.74	315	12
316_1_2	15.46	316	155
318_1_2	5.46	318	400
321_1_2	5.46	321	400
322_1_2	0	322	50
322_2_2	0	322	50
322_3_2	0	322	50
322_4_2	0	322	50
322_5_2	0	322	50
322_6_2	0	322	50
323_1_2	15.46	323	155
323_2_2	15.46	323	155
323_3_2	15.89	323	350
101_1_3	163.02	101	20
101_2_3	163.02	101	20
101_3_3	19.64	101	76
101_4_3	19.64	101	76
102_1_3	163.02	102	20
102_2_3	163.02	102	20
102_3_3	19.64	102	76
102_4_3	19.64	102	76
107_1_3	75.64	107	100
107_2_3	75.64	107	100
107_3_3	75.64	107	100
113_1_3	74.75	113	197
113_2_3	74.75	113	197
113_3_3	74.75	113	197
115_6_3	15.46	115	155
115_1_3	94.74	115	12
115_2_3	94.74	115	12
115_3_3	94.74	115	12
115_4_3	94.74	115	12
115_5_3	94.74	115	12
116_1_3	15.46	116	155
118_1_3	5.46	118	400
121_1_3	5.46	121	400
122_1_3	0	122	50
122_2_3	0	122	50
122_3_3	0	122	50
122_4_3	0	122	50
122_5_3	0	122	50
122_6_3	0	122	50
123_1_3	15.46	123	155
123_2_3	15.46	123	155
123_3_3	15.89	123	350
201_3_3	19.64	201	76
201_4_3	19.64	201	76
201_1_3	163.02	201	20
201_2_3	163.02	201	20
202_1_3	163.02	202	20
202_2_3	163.02	202	20
202_3_3	19.64	202	76
202_4_3	19.64	202	76
207_1_3	75.64	207	100
207_2_3	75.64	207	100
207_3_3	75.64	207	100
213_1_3	74.75	213	197
213_2_3	74.75	213	197
213_3_3	74.75	213	197
215_6_3	15.46	215	155
215_1_3	94.74	215	12
215_2_3	94.74	215	12
215_3_3	94.74	215	12
215_4_3	94.74	215	12
215_5_3	94.74	215	12
216_1_3	15.46	216	155
218_1_3	5.46	218	400
221_1_3	5.46	221	400
222_1_3	0	222	50
222_2_3	0	222	50
222_3_3	0	222	50
222_4_3	0	222	50
222_5_3	0	222	50
222_6_3	0	222	50
223_1_3	15.46	223	155
223_2_3	15.46	223	155
223_3_3	15.89	223	350
301_3_3	19.64	301	76
301_4_3	19.64	301	76
301_1_3	163.02	301	20
301_2_3	163.02	301	20
302_1_3	163.02	302	20
302_2_3	163.02	302	20
302_3_3	19.64	302	76
302_4_3	19.64	302	76
307_1_3	75.64	307	100
307_2_3	75.64	307	100
307_3_3	75.64	307	100
313_1_3	74.75	313	197
313_2_3	74.75	313	197
313_3_3	74.75	313	197
315_6_3	15.46	315	155
315_1_3	94.74	315	12
315_2_3	94.74	315	12
315_3_3	94.74	315	12
315_4_3	94.74	315	12
315_5_3	94.74	315	12
316_1_3	15.46	316	155
318_1_3	5.46	318	400
321_1_3	5.46	321	400
322_1_3	0	322	50
322_2_3	0	322	50
322_3_3	0	322	50
322_4_3	0	322	50
322_5_3	0	322	50
322_6_3	0	322	50
323_1_3	15.46	323	155
323_2_3	15.46	323	155
323_3_3	15.89	323	350
